,combination,difference,distance,gen,tra
4,343.319922013,45.2305167617,2.98089405251,4,0
4,732.49042203,154.497142034,5.77993279996,4,0
4,352.580916734,44.3661441048,3.08214772629,4,0
4,326.920176095,38.45090113,2.88469274965,4,0
4,423.241380152,57.4558435559,3.65785536596,4,0
4,451.642772349,58.8532538036,3.92789518545,4,0
4,317.733346354,32.6280816954,2.85105264659,4,0
4,664.69591666,145.056124912,5.19639791748,4,0
4,564.905973448,67.7459210871,4.97160052361,4,0
5,762.877922732,155.374521847,6.07503400885,5,0
5,385.517494419,20.7543424398,3.64763151979,5,0
5,446.974481467,60.3270757963,3.8664740567,5,0
5,732.49042203,154.497142034,5.77993279996,5,0
5,317.733346354,32.6280816954,2.85105264659,5,0
5,520.262665853,72.8364149394,4.47426250914,5,0
5,370.82435156,36.7481121387,3.34076239422,5,0
5,664.69591666,145.056124912,5.19639791748,5,0
5,865.19863604,136.49407072,7.28704565319,5,0
5,564.905973448,67.7459210871,4.97160052361,5,0
5,615.91340057,124.442841297,4.91470559273,5,0
5,825.269200235,132.717747054,6.92551453182,5,0
5,554.928306593,37.8490039096,5.17079302683,5,0
5,706.688912015,101.304581953,6.05384330063,5,0
5,1024.42163048,98.498372285,9.25923258194,5,0
6,612.488612025,76.7151224172,5.35773489608,6,0
6,865.19863604,136.49407072,7.28704565319,6,0
6,704.168824673,136.393242378,5.67775582296,6,0
6,825.269200235,132.717747054,6.92551453182,6,0
6,864.155530226,128.135300492,7.36020229734,6,0
6,670.380436292,81.044904417,5.89335531875,6,0
6,747.57060613,117.25454686,6.3031605927,6,0
6,706.688912015,101.304581953,6.05384330063,6,0
6,714.704693122,89.9997964311,6.24704896691,6,0
6,685.661531672,61.1412001518,6.2452033152,6,0
6,1119.97831762,107.563414224,10.1241490339,6,0
6,876.003605558,102.284833333,7.73718772225,6,0
6,1024.42163048,98.498372285,9.25923258194,6,0
6,1035.47535087,95.6056668819,9.39869683987,6,0
6,780.905922133,61.8394266604,7.19066495473,6,0
7,685.661531672,61.1412001518,6.2452033152,7,0
7,1076.52457024,111.79306742,9.64731502818,7,0
7,1119.97831762,107.563414224,10.1241490339,7,0
7,785.045226873,18.1809592127,7.66864267661,7,0
7,988.140000747,108.47554519,8.79664455557,7,0
7,792.455783896,90.1147922996,7.02340991596,7,0
7,773.157939578,80.6311102302,6.92526829348,7,0
7,1194.66883377,100.044658005,10.9462417576,7,0
7,866.418688439,101.495005809,7.64923682629,7,0
7,876.003605558,102.284833333,7.73718772225,7,0
7,780.905922133,61.8394266604,7.19066495473,7,0
7,1024.42163048,98.498372285,9.25923258194,7,0
7,845.356375221,80.6737401704,7.64682635051,7,0
7,1035.47535087,95.6056668819,9.39869683987,7,0
7,869.834886875,72.5513494739,7.97283537402,7,0
8,907.443024734,91.0987788434,8.16344245891,8,0
8,778.773053517,61.5721274244,7.17200926093,8,0
8,780.905922133,61.8394266604,7.19066495473,8,0
8,807.086231982,73.1945118258,7.33891720156,8,0
8,789.019297766,65.1962997291,7.23822998037,8,0
8,845.356375221,80.6737401704,7.64682635051,8,0
8,796.513430305,36.5179531633,7.59995477142,8,0
8,839.586706722,71.0822095899,7.68504497132,8,0
8,795.255527532,45.2821942185,7.49973333314,8,0
8,817.372483684,60.7725994251,7.56599884259,8,0
8,869.834886875,72.5513494739,7.97283537402,8,0
8,912.502056562,78.3905677186,8.34111488844,8,0
8,845.825870745,40.4945628165,8.05331307929,8,0
8,872.270275835,29.6445023418,8.42625773493,8,0
8,1054.75695442,12.9923779808,10.4176457644,8,0
9,1437.49855525,74.1249528021,13.6337360245,9,0
9,863.166492608,69.3874048114,7.93779087797,9,0
9,869.834886875,72.5513494739,7.97283537402,9,0
9,907.443024734,91.0987788434,8.16344245891,9,0
9,946.038844797,95.0720638472,8.50966780949,9,0
9,923.116406682,37.5948640295,8.85521542652,9,0
9,896.066795843,60.3885144211,8.35678281422,9,0
9,912.502056562,78.3905677186,8.34111488844,9,0
9,1054.75695442,12.9923779808,10.4176457644,9,0
9,1169.99334684,83.4845475244,10.8650879932,9,0
9,945.0084499,69.5613697096,8.7544708019,9,0
9,1032.86429124,58.7300391274,9.74134252113,9,0
9,1089.96529535,63.9659406224,10.2599935473,9,0
9,1254.17150799,4.81998757507,12.4935152041,9,0
9,1185.51987282,51.9477258145,11.33572147,9,0
10,912.502056562,78.3905677186,8.34111488844,10,0
10,896.066795843,60.3885144211,8.35678281422,10,0
10,923.116406682,37.5948640295,8.85521542652,10,0
10,1054.75695442,12.9923779808,10.4176457644,10,0
10,945.0084499,69.5613697096,8.7544708019,10,0
10,992.825425803,71.1396008961,9.21685824907,10,0
10,978.994743633,64.557667776,9.14437075857,10,0
10,1058.67019631,67.1879722362,9.91482224075,10,0
10,1089.96529535,63.9659406224,10.2599935473,10,0
10,1017.45282366,55.6824009313,9.61770422733,10,0
10,1032.86429124,58.7300391274,9.74134252113,10,0
10,1086.31933792,61.8029031787,10.2451643474,10,0
10,1037.13755348,38.3923700165,9.98745183459,10,0
10,1185.51987282,51.9477258145,11.33572147,10,0
10,1254.17150799,4.81998757507,12.4935152041,10,0
11,1037.13755348,38.3923700165,9.98745183459,11,0
11,1755.0095392,2.49217768574,17.5251736152,11,0
11,1157.81340788,32.6781648398,11.2513524304,11,0
11,969.625161334,62.7711863486,9.06853974985,11,0
11,912.502056562,78.3905677186,8.34111488844,11,0
11,945.0084499,69.5613697096,8.7544708019,11,0
11,1017.45282366,55.6824009313,9.61770422733,11,0
11,978.994743633,64.557667776,9.14437075857,11,0
11,1032.86429124,58.7300391274,9.74134252113,11,0
11,992.825425803,71.1396008961,9.21685824907,11,0
11,1185.51987282,51.9477258145,11.33572147,11,0
11,1165.8265746,49.4084694316,11.1641810517,11,0
11,1086.31933792,61.8029031787,10.2451643474,11,0
11,1058.67019631,67.1879722362,9.91482224075,11,0
11,1089.96529535,63.9659406224,10.2599935473,11,0
12,854.131494609,58.1936966227,7.95937797986,12,0
12,873.665447678,131.256635722,7.42408811956,12,0
12,986.062377197,64.2452055297,9.21817171667,12,0
12,969.625161334,62.7711863486,9.06853974985,12,0
12,987.090862117,65.5819318214,9.21508930296,12,0
12,978.994743633,64.557667776,9.14437075857,12,0
12,878.121237367,59.8863452854,8.18234892081,12,0
12,992.825425803,71.1396008961,9.21685824907,12,0
12,945.0084499,69.5613697096,8.7544708019,12,0
12,950.207322508,82.279294439,8.67928028069,12,0
12,912.502056562,78.3905677186,8.34111488844,12,0
12,746.044016142,79.6636072789,6.66380408863,12,0
12,561.850225452,113.682226536,4.48167998916,12,0
12,817.617672741,106.070090623,7.11547582118,12,0
12,719.161617889,128.345799385,5.90815818503,12,0
13,672.060572584,0.779466432176,6.71281106151,13,0
13,681.710329293,48.1281187952,6.33582210498,13,0
13,338.514705,45.59278914,2.9292191586,13,0
13,654.502294114,48.897507158,6.05604786956,13,0
13,541.5046046,15.581829035,5.25922775565,13,0
13,571.664351017,18.4086352949,5.53255715722,13,0
13,543.873615483,18.6991505699,5.25174464913,13,0
13,551.711948302,127.642054374,4.24069893929,13,0
13,617.034376095,54.6107349446,5.6242364115,13,0
13,437.671920248,38.5083269557,3.99163593292,13,0
13,586.063517408,69.7788348214,5.16284682587,13,0
13,386.596557367,52.5623812145,3.34034176152,13,0
13,419.179065807,62.4115435373,3.5676752227,13,0
13,561.850225452,113.682226536,4.48167998916,13,0
13,487.199496152,77.3139007752,4.09885595377,13,0
14,561.850225452,113.682226536,4.48167998916,14,0
14,386.596557367,52.5623812145,3.34034176152,14,0
14,338.514705,45.59278914,2.9292191586,14,0
14,528.119530928,89.2967961636,4.38822734764,14,0
14,377.755285858,51.3631344134,3.26392151445,14,0
14,487.199496152,77.3139007752,4.09885595377,14,0
14,461.811670961,71.3819977301,3.90429673231,14,0
14,419.179065807,62.4115435373,3.5676752227,14,0
14,433.975281685,66.092519651,3.67882762034,14,0
14,487.515791748,82.2647834822,4.05251008265,14,0
14,508.305740613,94.4152411961,4.13890499417,14,0
14,509.652743549,101.459237746,4.08193505803,14,0
14,480.043407939,79.5851051734,4.00458302766,14,0
14,215.750656639,25.952646276,1.89798010363,14,0
14,318.695334839,20.2997203212,2.98395614518,14,0
